agent_related,hamper_type,Creator,dependents_qty,household,preferred_contact_methods,preferred_languages,year_month,dw,age_group,days_since_last_pickup,days_diff_scheduled_actual,rescheduled_flag,month,total_visits,avg_days_between_pickups,is_single_pickup,return_binary,latitude,longitude,distance_to_center,sex_Male,status_Closed,status_Flagged,status_Outreach,status_Pending,location_cluster_1,location_cluster_2,location_cluster_3,location_cluster_4
1,1,1,1.0,1,SMS,English,2024-04,1,"[35, 40)",0,0,1,4,2,13.0,,Yes,53.5930843,-113.49162,5.036257522101492,False,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,English,2024-05,1,"[35, 40)",13,-16,1,5,2,13.0,,No,53.5930843,-113.49162,5.036257522101492,False,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,"English , Somali",2024-05,1,"[35, 40)",0,13,1,5,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,"English , Somali",2024-05,1,"[35, 40)",29,13,1,5,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,2,1.0,1,SMS,"English , Somali",2024-05,1,"[35, 40)",0,13,1,5,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,"English , Somali",2024-07,1,"[35, 40)",38,-10,1,7,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,2,1.0,1,SMS,"English , Somali",2024-07,1,"[35, 40)",0,-10,1,7,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,"English , Somali",2024-08,1,"[35, 40)",31,-9,1,8,6,19.6,,No,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
2,1,3,1.0,1,"WhatsApp , SMS",English,2023-11,1,"[35, 40)",0,0,1,11,2,0.0,,Yes,53.547339,-113.5058219,0.1485321168673009,True,False,False,False,False,False,False,False,False
2,1,3,1.0,1,"WhatsApp , SMS",English,2023-11,1,"[35, 40)",0,-30,1,11,2,0.0,,No,53.547339,-113.5058219,0.1485321168673009,True,False,False,False,False,False,False,False,False
3,1,4,6.0,1,"WhatsApp , Phone Call",Arabic,2023-11,1,"[35, 40)",60,0,1,11,4,73.66666666666667,,Yes,53.6091646,-113.4607291,7.373997378978506,True,False,False,False,False,False,True,False,False
4,1,5,6.0,1,"WhatsApp , Phone Call",Arabic,2023-11,1,"[35, 40)",9,0,1,11,4,73.66666666666667,,No,53.6091646,-113.4607291,7.373997378978506,True,False,False,False,False,False,True,False,False
4,1,5,6.0,1,"WhatsApp , Phone Call",Arabic,2024-04,1,"[35, 40)",152,1,1,4,4,73.66666666666667,,No,53.6091646,-113.4607291,7.373997378978506,True,False,False,False,False,False,True,False,False
5,1,6,5.0,1,"SMS , Phone Call , Email","Arabic , French",2023-11,1,"[30, 35)",69,0,1,11,3,49.0,,Yes,53.4100978,-113.5233117,15.463878556337733,True,False,False,False,False,False,False,False,True
5,1,6,5.0,1,"SMS , Phone Call , Email","Arabic , French",2023-12,1,"[30, 35)",29,0,1,12,3,49.0,,No,53.4100978,-113.5233117,15.463878556337733,True,False,False,False,False,False,False,False,True
5,1,6,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2023-11,1,"[35, 40)",32,0,1,11,12,29.363636363636363,,Yes,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
5,1,6,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2023-12,1,"[35, 40)",29,0,1,12,12,29.363636363636363,,Yes,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
6,1,7,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2024-01,1,"[35, 40)",33,0,1,1,12,29.363636363636363,,Yes,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
6,1,7,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2024-03,1,"[35, 40)",56,-3,1,3,12,29.363636363636363,,Yes,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
6,1,7,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2024-04,1,"[35, 40)",34,1,1,4,12,29.363636363636363,,Yes,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
6,1,7,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2024-05,1,"[35, 40)",28,0,1,5,12,29.363636363636363,,Yes,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
6,1,7,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2024-06,1,"[35, 40)",28,-3,1,6,12,29.363636363636363,,Yes,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
6,1,2,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2024-06,1,"[35, 40)",0,-3,1,6,12,29.363636363636363,,Yes,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
6,1,7,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2024-07,1,"[35, 40)",32,3,1,7,12,29.363636363636363,,Yes,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
6,1,7,6.0,1,"WhatsApp , SMS , Phone Call",Arabic,2024-08,1,"[35, 40)",27,0,1,8,12,29.363636363636363,,No,53.6303127,-113.5125047,9.097289600110267,True,False,False,False,False,False,True,False,False
3,1,4,3.0,1,"WhatsApp , Phone Call","English , Arabic",2023-11,1,"[40, 45)",27,0,1,11,10,24.33333333333333,,Yes,53.6022249,-113.4068779,8.873624342768737,True,True,False,False,False,False,True,False,False
7,1,8,3.0,1,"WhatsApp , Phone Call","English , Arabic",2023-11,1,"[40, 45)",8,0,1,11,10,24.33333333333333,,Yes,53.6022249,-113.4068779,8.873624342768737,True,True,False,False,False,False,True,False,False
3,1,4,3.0,1,"WhatsApp , Phone Call","English , Arabic",2023-12,1,"[40, 45)",21,0,1,12,10,24.33333333333333,,Yes,53.6022249,-113.4068779,8.873624342768737,True,True,False,False,False,False,True,False,False
4,1,5,3.0,1,"WhatsApp , Phone Call","English , Arabic",2023-12,1,"[40, 45)",13,0,1,12,10,24.33333333333333,,Yes,53.6022249,-113.4068779,8.873624342768737,True,True,False,False,False,False,True,False,False
3,1,4,3.0,1,"WhatsApp , Phone Call","English , Arabic",2024-02,1,"[40, 45)",55,6,1,2,10,24.33333333333333,,Yes,53.6022249,-113.4068779,8.873624342768737,True,True,False,False,False,False,True,False,False
3,1,4,3.0,1,"WhatsApp , Phone Call","English , Arabic",2024-03,1,"[40, 45)",33,11,1,3,10,24.33333333333333,,No,53.6022249,-113.4068779,8.873624342768737,True,True,False,False,False,False,True,False,False
6,1,7,3.0,1,"WhatsApp , Phone Call","English , Arabic",2024-05,1,"[40, 45)",62,0,0,5,10,24.33333333333333,,Yes,53.6022249,-113.4068779,8.873624342768737,True,True,False,False,False,False,True,False,False
6,1,2,3.0,1,"WhatsApp , Phone Call","English , Arabic",2024-05,1,"[40, 45)",0,0,0,5,10,24.33333333333333,,No,53.6022249,-113.4068779,8.873624342768737,True,True,False,False,False,False,True,False,False
8,1,9,5.0,1,"SMS , Phone Call",Arabic,2023-11,1,"[35, 40)",32,0,1,11,8,26.0,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
8,1,9,5.0,1,"SMS , Phone Call",Arabic,2023-12,1,"[35, 40)",30,0,1,12,8,26.0,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
6,1,7,5.0,1,"SMS , Phone Call",Arabic,2024-01,1,"[35, 40)",31,0,1,1,8,26.0,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
6,1,7,5.0,1,"SMS , Phone Call",Arabic,2024-02,1,"[35, 40)",30,-1,1,2,8,26.0,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
6,1,7,5.0,1,"SMS , Phone Call",Arabic,2024-03,1,"[35, 40)",28,-1,1,3,8,26.0,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
6,1,7,5.0,1,"SMS , Phone Call",Arabic,2024-04,1,"[35, 40)",31,0,1,4,8,26.0,,No,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
3,1,4,1.0,1,SMS,Turkish,2024-05,1,"[25, 30)",208,0,1,5,2,208.0,,No,53.645168,-113.4659576,11.064812484927993,True,False,False,False,False,False,True,False,False
6,1,7,6.0,1,"WhatsApp , SMS",Arabic,2023-12,1,"[45, 50)",62,0,1,12,3,31.0,,No,53.58835269999999,-113.4678162,5.093948590648257,True,False,False,False,False,False,True,False,False
4,1,5,6.0,1,"WhatsApp , SMS",Arabic,2023-11,1,"[35, 40)",30,0,1,11,4,20.666666666666668,,Yes,53.587185,-113.4695611,4.923822995262542,True,False,False,False,False,False,True,False,False
6,1,7,6.0,1,"WhatsApp , SMS",Arabic,2023-12,1,"[35, 40)",32,0,1,12,4,20.666666666666668,,No,53.587185,-113.4695611,4.923822995262542,True,False,False,False,False,False,True,False,False
3,1,4,9.0,1,"WhatsApp , SMS",Arabic,2023-11,1,"[40, 45)",0,3,1,11,7,27.33333333333333,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
3,1,4,9.0,1,"WhatsApp , SMS",Arabic,2023-12,1,"[40, 45)",26,0,1,12,7,27.33333333333333,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
4,1,5,9.0,1,"WhatsApp , SMS",Arabic,2023-12,1,"[40, 45)",3,0,1,12,7,27.33333333333333,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
6,1,7,9.0,1,"WhatsApp , SMS",Arabic,2024-01,1,"[40, 45)",32,0,1,1,7,27.33333333333333,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
6,1,7,9.0,1,"WhatsApp , SMS",Arabic,2024-02,1,"[40, 45)",35,5,1,2,7,27.33333333333333,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
6,1,7,9.0,1,"WhatsApp , SMS",Arabic,2024-03,1,"[40, 45)",28,5,1,3,7,27.33333333333333,,Yes,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
6,1,7,9.0,1,"WhatsApp , SMS",Arabic,2024-05,1,"[40, 45)",40,-15,1,5,7,27.33333333333333,,No,53.6254347,-113.4988884,8.557862284304909,True,True,False,False,False,False,True,False,False
4,1,5,1.0,1,WhatsApp,Arabic,2023-12,1,"[45, 50)",59,0,1,12,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-01,1,"[45, 50)",32,0,1,1,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-02,1,"[45, 50)",30,0,1,2,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-04,1,"[45, 50)",32,-28,1,4,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-05,1,"[45, 50)",29,-63,1,5,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,2,1.0,1,WhatsApp,Arabic,2024-05,1,"[45, 50)",0,-63,1,5,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-06,1,"[45, 50)",35,-31,1,6,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,2,1.0,1,WhatsApp,Arabic,2024-06,1,"[45, 50)",0,-31,1,6,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-07,1,"[45, 50)",32,0,1,7,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,2,1.0,1,WhatsApp,Arabic,2024-07,1,"[45, 50)",0,0,1,7,13,26.166666666666668,,Yes,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,2,1.0,1,WhatsApp,Arabic,2024-08,1,"[45, 50)",31,-1,1,8,13,26.166666666666668,,No,56.130366,-106.346771,541.981401371081,True,False,False,False,False,True,False,False,False
6,1,7,4.0,1,SMS,Arabic,2023-11,1,"[20, 25)",33,0,1,11,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
6,1,7,4.0,1,SMS,Arabic,2023-12,1,"[20, 25)",29,0,1,12,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
6,1,7,4.0,1,SMS,Arabic,2024-01,1,"[20, 25)",32,0,1,1,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
6,1,7,4.0,1,SMS,Arabic,2024-02,1,"[20, 25)",30,0,1,2,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
6,1,7,4.0,1,SMS,Arabic,2024-04,1,"[20, 25)",31,-28,1,4,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
6,1,7,4.0,1,SMS,Arabic,2024-05,1,"[20, 25)",30,-28,1,5,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
6,1,7,4.0,1,SMS,Arabic,2024-05,1,"[20, 25)",29,-30,1,5,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
6,1,2,4.0,1,SMS,Arabic,2024-05,1,"[20, 25)",0,-30,1,5,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
6,1,7,4.0,1,SMS,Arabic,2024-07,1,"[20, 25)",32,-27,1,7,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
6,1,2,4.0,1,SMS,Arabic,2024-07,1,"[20, 25)",0,-27,1,7,13,26.33333333333333,,Yes,53.6221515,-113.5099519,8.183055828511206,True,False,False,False,False,False,True,False,False
4,1,5,5.0,1,"WhatsApp , SMS",Arabic,2023-11,1,"[45, 50)",34,0,1,11,12,28.818181818181817,,Yes,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
4,1,5,5.0,1,"WhatsApp , SMS",Arabic,2024-01,1,"[45, 50)",34,-1,1,1,12,28.818181818181817,,Yes,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
6,1,7,5.0,1,"WhatsApp , SMS",Arabic,2024-02,1,"[45, 50)",33,0,1,2,12,28.818181818181817,,Yes,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
6,1,7,5.0,1,"WhatsApp , SMS",Arabic,2024-03,1,"[45, 50)",29,-1,1,3,12,28.818181818181817,,Yes,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
6,1,7,5.0,1,"WhatsApp , SMS",Arabic,2024-04,1,"[45, 50)",28,-3,1,4,12,28.818181818181817,,Yes,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
6,1,7,5.0,1,"WhatsApp , SMS",Arabic,2024-05,1,"[45, 50)",31,2,1,5,12,28.818181818181817,,Yes,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
6,1,7,5.0,1,"WhatsApp , SMS",Arabic,2024-06,1,"[45, 50)",37,9,1,6,12,28.818181818181817,,Yes,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
6,1,2,5.0,1,"WhatsApp , SMS",Arabic,2024-06,1,"[45, 50)",0,9,1,6,12,28.818181818181817,,Yes,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
6,1,7,5.0,1,"WhatsApp , SMS",Arabic,2024-07,1,"[45, 50)",39,18,1,7,12,28.818181818181817,,Yes,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
6,1,7,5.0,1,"WhatsApp , SMS",Arabic,2024-08,1,"[45, 50)",23,-1,1,8,12,28.818181818181817,,No,53.58970679999999,-113.46949,5.172231406274376,True,False,False,False,False,False,True,False,False
3,1,4,1.0,1,WhatsApp,Arabic,2023-11,1,"[50, 55)",61,0,1,11,7,36.833333333333336,,Yes,53.5937943,-113.4800016,5.312361924207588,True,False,False,False,False,False,True,False,False
9,1,10,1.0,1,WhatsApp,Arabic,2023-11,1,"[50, 55)",3,0,1,11,7,36.833333333333336,,No,53.5937943,-113.4800016,5.312361924207588,True,False,False,False,False,False,True,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-02,1,"[50, 55)",67,0,1,2,7,36.833333333333336,,Yes,53.5937943,-113.4800016,5.312361924207588,True,False,False,False,False,False,True,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-03,1,"[50, 55)",29,-1,1,3,7,36.833333333333336,,Yes,53.5937943,-113.4800016,5.312361924207588,True,False,False,False,False,False,True,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-04,1,"[50, 55)",32,0,1,4,7,36.833333333333336,,Yes,53.5937943,-113.4800016,5.312361924207588,True,False,False,False,False,False,True,False,False
6,1,7,1.0,1,WhatsApp,Arabic,2024-05,1,"[50, 55)",29,0,1,5,7,36.833333333333336,,No,53.5937943,-113.4800016,5.312361924207588,True,False,False,False,False,False,True,False,False
2,1,3,1.0,1,WhatsApp,Arabic,2023-11,1,"[70, 75)",60,0,1,11,7,41.833333333333336,,No,53.6013172,-113.4558153,6.740974525705964,True,False,False,False,False,False,True,False,False
2,1,3,1.0,1,WhatsApp,Arabic,2024-02,1,"[70, 75)",77,-14,1,2,7,41.833333333333336,,Yes,53.6013172,-113.4558153,6.740974525705964,True,False,False,False,False,False,True,False,False
2,1,3,1.0,1,WhatsApp,Arabic,2024-03,1,"[70, 75)",31,-12,1,3,7,41.833333333333336,,Yes,53.6013172,-113.4558153,6.740974525705964,True,False,False,False,False,False,True,False,False
2,1,3,1.0,1,WhatsApp,Arabic,2024-05,1,"[70, 75)",47,5,1,5,7,41.833333333333336,,Yes,53.6013172,-113.4558153,6.740974525705964,True,False,False,False,False,False,True,False,False
2,1,3,1.0,1,WhatsApp,Arabic,2024-06,1,"[70, 75)",36,11,1,6,7,41.833333333333336,,Yes,53.6013172,-113.4558153,6.740974525705964,True,False,False,False,False,False,True,False,False
2,1,2,1.0,1,WhatsApp,Arabic,2024-06,1,"[70, 75)",0,11,1,6,7,41.833333333333336,,No,53.6013172,-113.4558153,6.740974525705964,True,False,False,False,False,False,True,False,False
3,1,4,3.0,1,WhatsApp,Arabic,2023-11,1,"[20, 25)",61,0,1,11,3,51.5,,Yes,53.5813993,-113.4551493,4.967290239168963,True,False,False,False,False,False,True,False,False
5,1,6,3.0,1,WhatsApp,Arabic,2024-01,1,"[20, 25)",42,0,1,1,3,51.5,,No,53.5813993,-113.4551493,4.967290239168963,True,False,False,False,False,False,True,False,False
6,1,7,2.0,1,WhatsApp,"Arabic , Somali",2023-11,1,"[35, 40)",35,0,1,11,10,32.77777777777778,,Yes,53.5501733,-113.503382,0.2466955710171245,True,False,False,False,False,False,False,False,False
3,1,4,2.0,1,WhatsApp,"Arabic , Somali",2023-11,1,"[35, 40)",7,0,1,11,10,32.77777777777778,,Yes,53.5501733,-113.503382,0.2466955710171245,True,False,False,False,False,False,False,False,False
6,1,7,2.0,1,WhatsApp,"Arabic , Somali",2023-12,1,"[35, 40)",23,1,1,12,10,32.77777777777778,,Yes,53.5501733,-113.503382,0.2466955710171245,True,False,False,False,False,False,False,False,False
6,1,7,2.0,1,WhatsApp,"Arabic , Somali",2024-01,1,"[35, 40)",32,2,1,1,10,32.77777777777778,,No,53.5501733,-113.503382,0.2466955710171245,True,False,False,False,False,False,False,False,False
6,1,7,2.0,1,WhatsApp,"Arabic , Somali",2024-04,1,"[35, 40)",90,2,1,4,10,32.77777777777778,,Yes,53.5501733,-113.503382,0.2466955710171245,True,False,False,False,False,False,False,False,False
6,1,7,2.0,1,WhatsApp,"Arabic , Somali",2024-05,1,"[35, 40)",35,8,1,5,10,32.77777777777778,,Yes,53.5501733,-113.503382,0.2466955710171245,True,False,False,False,False,False,False,False,False
6,1,2,2.0,1,WhatsApp,"Arabic , Somali",2024-05,1,"[35, 40)",0,8,1,5,10,32.77777777777778,,Yes,53.5501733,-113.503382,0.2466955710171245,True,False,False,False,False,False,False,False,False
6,1,7,2.0,1,WhatsApp,"Arabic , Somali",2024-07,1,"[35, 40)",55,2,1,7,10,32.77777777777778,,No,53.5501733,-113.503382,0.2466955710171245,True,False,False,False,False,False,False,False,False
6,1,7,12.0,1,SMS,"Somali , English",2023-11,1,"[40, 45)",0,0,1,11,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,7,12.0,1,SMS,"Somali , English",2023-12,1,"[40, 45)",22,-7,1,12,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,7,12.0,1,SMS,"Somali , English",2024-01,1,"[40, 45)",35,-2,1,1,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,7,12.0,1,SMS,"Somali , English",2024-02,1,"[40, 45)",34,2,1,2,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,7,12.0,1,SMS,"Somali , English",2024-03,1,"[40, 45)",26,-1,1,3,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,7,12.0,1,SMS,"Somali , English",2024-04,1,"[40, 45)",34,3,1,4,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,7,12.0,1,SMS,"Somali , English",2024-05,1,"[40, 45)",28,1,1,5,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,2,12.0,1,SMS,"Somali , English",2024-05,1,"[40, 45)",0,1,1,5,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,7,12.0,1,SMS,"Somali , English",2024-06,1,"[40, 45)",27,-2,1,6,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,2,12.0,1,SMS,"Somali , English",2024-06,1,"[40, 45)",0,-2,1,6,11,24.1,,Yes,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
6,1,7,12.0,1,SMS,"Somali , English",2024-07,1,"[40, 45)",35,3,1,7,11,24.1,,No,53.6199903,-113.497925,7.957021013882376,True,False,False,False,False,False,True,False,False
9,1,10,5.0,1,SMS,"French , English",2023-12,1,"[35, 40)",0,0,1,12,10,24.22222222222222,,Yes,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
9,1,10,5.0,1,SMS,"French , English",2024-01,1,"[35, 40)",34,3,1,1,10,24.22222222222222,,Yes,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
9,1,10,5.0,1,SMS,"French , English",2024-02,1,"[35, 40)",28,1,1,2,10,24.22222222222222,,Yes,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
9,1,10,5.0,1,SMS,"French , English",2024-03,1,"[35, 40)",33,5,1,3,10,24.22222222222222,,Yes,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
9,1,10,5.0,1,SMS,"French , English",2024-04,1,"[35, 40)",29,4,1,4,10,24.22222222222222,,Yes,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
9,1,10,5.0,1,SMS,"French , English",2024-05,1,"[35, 40)",32,6,1,5,10,24.22222222222222,,Yes,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
9,1,2,5.0,1,SMS,"French , English",2024-05,1,"[35, 40)",0,6,1,5,10,24.22222222222222,,Yes,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
9,1,10,5.0,1,SMS,"French , English",2024-06,1,"[35, 40)",30,6,1,6,10,24.22222222222222,,Yes,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
9,1,2,5.0,1,SMS,"French , English",2024-06,1,"[35, 40)",0,6,1,6,10,24.22222222222222,,Yes,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
9,1,10,5.0,1,SMS,"French , English",2024-07,1,"[35, 40)",32,2,1,7,10,24.22222222222222,,No,53.5998206,-113.4280219,7.692421554242429,False,False,False,False,False,False,True,False,False
4,1,5,3.0,1,SMS,Arabic,2023-11,1,"[65, 70)",0,0,1,11,10,26.88888888888889,,Yes,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
4,1,5,3.0,1,SMS,Arabic,2023-12,1,"[65, 70)",35,5,1,12,10,26.88888888888889,,No,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
4,1,5,3.0,1,SMS,Arabic,2024-03,1,"[65, 70)",74,49,1,3,10,26.88888888888889,,Yes,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
4,1,5,3.0,1,SMS,Arabic,2024-03,1,"[65, 70)",0,18,1,3,10,26.88888888888889,,Yes,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
4,1,5,3.0,1,SMS,Arabic,2024-03,1,"[65, 70)",0,-11,1,3,10,26.88888888888889,,Yes,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
4,1,5,3.0,1,SMS,Arabic,2024-04,1,"[65, 70)",35,-7,1,4,10,26.88888888888889,,Yes,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
4,1,5,3.0,1,SMS,Arabic,2024-05,1,"[65, 70)",34,-2,1,5,10,26.88888888888889,,Yes,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
4,1,5,3.0,1,SMS,Arabic,2024-06,1,"[65, 70)",35,2,1,6,10,26.88888888888889,,Yes,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
4,1,2,3.0,1,SMS,Arabic,2024-06,1,"[65, 70)",0,2,1,6,10,26.88888888888889,,Yes,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
4,1,5,3.0,1,SMS,Arabic,2024-07,1,"[65, 70)",29,3,1,7,10,26.88888888888889,,No,53.590674,-113.4894269,4.804513049274785,True,False,False,False,False,False,True,False,False
6,1,7,2.0,1,"SMS , WhatsApp",Arabic,2023-11,1,"[65, 70)",0,0,1,11,11,24.8,,Yes,53.6291348,-113.5259347,9.052059428853614,True,False,False,False,False,False,True,False,False
